match_id,competition_id,season_id
8655,43,3
8657,43,3
7540,43,3
8652,43,3
7563,43,3
7556,43,3
7559,43,3
3827767,1238,108
3827335,1238,108
3827336,1238,108
3827338,1238,108
3827337,1238,108
3817856,1238,108
3817891,1238,108
3817870,1238,108
3817899,1238,108
3817866,1238,108
3817889,1238,108
3817887,1238,108
3817872,1238,108
3817900,1238,108
3817855,1238,108
3817863,1238,108
3817877,1238,108
3817901,1238,108
3817880,1238,108
3817902,1238,108
3817862,1238,108
3817873,1238,108
3817869,1238,108
3817881,1238,108
3817895,1238,108
3817884,1238,108
3817896,1238,108
3817852,1238,108
3817883,1238,108
3817886,1238,108
3817864,1238,108
3817882,1238,108
3817894,1238,108
3817871,1238,108
3817861,1238,108
3817888,1238,108
3817875,1238,108
3817868,1238,108
3817867,1238,108
3813313,1238,108
3817890,1238,108
3813302,1238,108
3817857,1238,108
3817898,1238,108
3817893,1238,108
3817854,1238,108
3817892,1238,108
3817859,1238,108
3817858,1238,108
3817897,1238,108
3817885,1238,108
3817878,1238,108
3817876,1238,108
3813305,1238,108
3813266,1238,108
3813271,1238,108
3813311,1238,108
3813303,1238,108
3813304,1238,108
3813306,1238,108
3813283,1238,108
3813275,1238,108
3813278,1238,108
3813295,1238,108
3813296,1238,108
3813282,1238,108
3813269,1238,108
3817879,1238,108
3817874,1238,108
3817865,1238,108
3817860,1238,108
3817853,1238,108
3817851,1238,108
3817850,1238,108
3817849,1238,108
3817848,1238,108
3813318,1238,108
3813287,1238,108
3813270,1238,108
3813307,1238,108
3813279,1238,108
3813281,1238,108
3813274,1238,108
3813285,1238,108
3813317,1238,108
3813316,1238,108
3813315,1238,108
3813314,1238,108
3813312,1238,108
3813310,1238,108
3813309,1238,108
3813308,1238,108
3813301,1238,108
3813300,1238,108
3813299,1238,108
3813298,1238,108
3813297,1238,108
3813294,1238,108
3813293,1238,108
3813292,1238,108
3813291,1238,108
3813290,1238,108
3813289,1238,108
3813288,1238,108
3813286,1238,108
3813284,1238,108
3813280,1238,108
3813277,1238,108
3813276,1238,108
3813273,1238,108
3813272,1238,108
3813268,1238,108
3813267,1238,108
3813265,1238,108
3813264,1238,108
7494,49,3
7486,49,3
7497,49,3
7430,49,3
7444,49,3
7443,49,3
7521,49,3
7492,49,3
7524,49,3
7496,49,3
7523,49,3
7520,49,3
7493,49,3
7500,49,3
7519,49,3
7473,49,3
7522,49,3
7484,49,3
7475,49,3
7457,49,3
7445,49,3
7490,49,3
7482,49,3
7479,49,3
7478,49,3
7456,49,3
7471,49,3
7477,49,3
7472,49,3
7474,49,3
7487,49,3
7485,49,3
7483,49,3
7476,49,3
7451,49,3
7480,49,3
3795108,55,43
3788769,55,43
3788766,55,43
3795220,55,43
3788761,55,43
3788764,55,43
3788773,55,43
3788755,55,43
3788754,55,43
3788762,55,43
3788760,55,43
3788747,55,43
3788741,55,43
3795109,55,43
3795187,55,43
3788770,55,43
3795506,55,43
3794688,55,43
3794692,55,43
3794686,55,43
3794687,55,43
3794685,55,43
3788774,55,43
3788771,55,43
3788772,55,43
3788768,55,43
3788767,55,43
3788753,55,43
3788765,55,43
3788763,55,43
3788759,55,43
3788758,55,43
3788757,55,43
3788745,55,43
3795107,55,43
3795221,55,43
3794689,55,43
3788746,55,43
3794691,55,43
3794690,55,43
3788756,55,43
3788749,55,43
3788750,55,43
3788748,55,43
3788751,55,43
3788752,55,43
3788742,55,43
3788775,55,43
3788776,55,43
3788743,55,43
3788744,55,43
3835331,53,106
3835324,53,106
3844384,53,106
3847567,53,106
3845506,53,106
3835335,53,106
3835323,53,106
3835325,53,106
3835320,53,106
3845507,53,106
3844387,53,106
3844385,53,106
3844386,53,106
3835342,53,106
3835337,53,106
3835338,53,106
3835330,53,106
3835329,53,106
3835322,53,106
3835332,53,106
3835327,53,106
3835326,53,106
3835341,53,106
3835340,53,106
3835339,53,106
3835336,53,106
3835334,53,106
3835328,53,106
3835333,53,106
3835321,53,106
3835319,53,106
68357,72,30
22933,72,30
22963,72,30
68311,72,30
22940,72,30
22943,72,30
22944,72,30
22945,72,30
22949,72,30
22956,72,30
22961,72,30
22964,72,30
22966,72,30
68344,72,30
68345,72,30
69163,72,30
68346,72,30
68355,72,30
69301,72,30
69137,72,30
69208,72,30
22936,72,30
22973,72,30
68337,72,30
22981,72,30
22974,72,30
22924,72,30
69321,72,30
22983,72,30
68312,72,30
22921,72,30
22926,72,30
22930,72,30
22934,72,30
22939,72,30
69202,72,30
22942,72,30
22948,72,30
22955,72,30
22962,72,30
22980,72,30
22984,72,30
68338,72,30
68343,72,30
68362,72,30
69191,72,30
69188,72,30
69199,72,30
69258,72,30
69284,72,30
69205,72,30
69161,72,30
